3 Phase Voltage in Volts,3 Phase Current in Amps,Poles,Frequency in Hz,Power Factor,Temperature in Celcius,% Load,Angular Velocity in rad/sec,Motor Age in Yrs,Efficiency,Reliability,Life Cycle in Yrs
458.6,9.6,2,50,0.7,27,106,82,3,80.86,Moderately,4
477.8,8.2,3,50,0.5,69,113,106,0,92.87,Strongly,9
443.2,12.2,3,49,0.7,64,83,82,2,81.71,Moderately,4
464.3,9.6,2,50,0.6,13,59,85,1,85.74,Moderately,6
417.6,9.3,2,49,0.5,60,77,86,0,90.25,Strongly,8
421.4,10,3,49,0.5,31,106,109,1,87.71,Moderately,7
477.3,11.1,2,49,0.8,32,50,90,1,84.23,Moderately,5
455.2,9.3,2,49,0.8,78,109,84,2,81.43,Moderately,4
472.9,11.7,2,49,0.5,13,113,114,3,82.16,Moderately,4
438.1,12.1,3,49,0.8,43,67,98,3,80.16,Moderately,3
435.5,10.1,3,50,0.5,59,97,93,1,85.69,Moderately,6
421.6,9.4,2,49,0.5,52,61,99,3,80.63,Moderately,4
418.5,10.6,2,49,0.5,11,102,87,2,83.11,Moderately,5
454.9,10.3,2,49,0.7,75,106,95,2,82.67,Moderately,5
451.1,12.3,3,49,0.6,72,118,98,3,81.52,Moderately,4
402.4,9.7,3,49,0.7,54,119,96,0,89.57,Moderately,8
422.7,12.5,3,50,0.8,17,95,98,1,84.65,Moderately,6
447.8,12.6,3,50,0.8,41,111,82,0,88.76,Moderately,8
469.5,9,2,49,0.8,20,105,109,3,81.49,Moderately,4
424.9,11.8,3,50,0.5,38,105,99,1,85.62,Moderately,6
454.3,9.1,3,50,0.5,43,109,113,0,91.97,Strongly,9
424.1,8.7,3,49,0.8,47,111,88,1,85.9,Moderately,6
403.2,12.8,3,49,0.5,13,112,96,0,90.01,Strongly,8
443.3,8.7,3,49,0.8,70,55,97,1,85.12,Moderately,6
441.9,12.8,2,49,0.8,48,80,119,2,81.73,Moderately,4
478.7,8.6,2,49,0.8,47,53,112,1,85.06,Moderately,6
450,7.2,2,50,0.7,22,79,109,0,91.2,Strongly,9
403.5,12.1,3,49,0.8,22,50,98,0,89.16,Moderately,8
463,8.4,3,49,0.5,30,54,88,1,87.56,Moderately,7
445.7,11,2,50,0.7,61,85,89,2,82.48,Moderately,5
454.6,7.5,2,50,0.6,34,92,107,1,86.79,Moderately,7
460,8.7,3,49,0.7,59,83,109,2,83.31,Moderately,5
456.6,12.8,3,50,0.8,60,50,94,3,80.94,Moderately,4
430.7,11.8,2,50,0.7,53,54,119,2,81.93,Moderately,4
444.2,12.7,3,49,0.6,69,60,100,3,80.51,Moderately,4
410.5,11.1,3,49,0.8,44,56,99,2,83.02,Moderately,5
469.9,11.6,2,49,0.6,10,51,110,2,83.47,Moderately,5
467.1,12.5,3,49,0.6,28,80,99,0,89.97,Moderately,8
463.2,11.7,2,49,0.5,39,59,87,0,90.18,Strongly,8
471.2,7.6,2,50,0.6,66,90,106,3,82,Moderately,4
419.8,10.5,3,50,0.6,45,65,111,1,86.82,Moderately,7
438,7.8,2,49,0.6,33,106,80,2,83.08,Moderately,5
474.6,7.1,2,50,0.7,36,63,118,1,87.04,Moderately,7
435.8,11.5,3,49,0.6,73,102,84,1,84.71,Moderately,6
436.6,8,2,50,0.7,59,60,116,3,81.73,Moderately,4
409.7,8.2,3,50,0.8,72,92,114,3,80.99,Moderately,4
409.9,8.4,2,50,0.8,25,53,93,3,79.95,Weekly,3
442,9.5,2,49,0.8,14,76,89,1,84.39,Moderately,6
436.9,11.1,3,49,0.6,30,94,83,1,84.99,Moderately,6
462.5,10.8,2,50,0.6,75,117,85,1,84.29,Moderately,5
408.2,9.1,2,50,0.6,51,67,117,1,85.26,Moderately,6
424.4,9.4,2,49,0.5,42,110,90,2,82.25,Moderately,4
410.3,9.9,3,49,0.8,50,111,84,1,84.51,Moderately,6
411.2,10.2,3,50,0.7,61,78,102,1,85.06,Moderately,6
434.4,12.9,3,50,0.5,14,89,106,3,82.36,Moderately,5
404,9.6,3,50,0.6,72,105,88,3,81.44,Moderately,4
429.7,7.6,3,50,0.7,38,117,97,0,91.42,Strongly,9
451.2,12.9,3,50,0.8,57,91,106,0,90.2,Strongly,8
428.6,12.8,3,49,0.7,35,98,83,1,84.44,Moderately,6
474.3,7.9,2,49,0.6,18,107,82,2,82.35,Moderately,4
478.6,11.9,2,50,0.6,49,74,107,3,80.27,Moderately,3
407.5,7.1,2,50,0.6,14,57,94,3,81.8,Moderately,4
451.7,8.3,2,49,0.5,51,54,96,3,81.95,Moderately,4
429.1,11.3,3,50,0.7,69,105,93,1,85.67,Moderately,6
445,12,3,50,0.5,68,81,118,2,83.45,Moderately,5
414.6,9.6,2,49,0.6,19,118,81,3,79.98,Weekly,3
403.8,9.7,2,50,0.7,65,94,98,2,82.65,Moderately,5
409.7,11.3,3,50,0.6,77,57,84,0,90.09,Strongly,8
404.3,8.6,2,50,0.8,10,95,100,3,81.11,Moderately,4
436,8.9,3,50,0.8,46,117,102,3,81.74,Moderately,4
432.3,11.9,3,49,0.7,59,66,110,1,85.15,Moderately,6
441.4,11.4,3,49,0.7,75,57,85,3,80.02,Moderately,3
438.6,10.1,3,49,0.8,12,104,115,0,90.36,Strongly,8
427.1,12.7,2,49,0.7,49,76,90,2,82.37,Moderately,5
411.8,9.5,2,49,0.7,37,55,118,0,90.58,Strongly,8
478.8,7.7,2,49,0.5,42,71,106,2,84.62,Moderately,6
460.3,8.6,2,49,0.5,30,55,96,2,83.89,Moderately,5
468.6,11.1,3,50,0.7,34,112,95,1,86.11,Moderately,6
442.5,11.2,3,49,0.5,54,69,97,1,86.74,Moderately,7
410.7,12.8,2,50,0.8,48,87,97,0,88.43,Moderately,7
450.2,12.5,2,50,0.5,64,97,101,2,82.98,Moderately,5
402.6,7.3,2,50,0.5,45,91,108,0,90.55,Strongly,8
447.4,8,3,49,0.6,39,73,102,0,92.23,Strongly,9
442.8,8.5,2,50,0.5,44,50,106,0,90.31,Strongly,8
441.5,10.3,2,50,0.7,57,55,116,2,83.1,Moderately,5
440.2,8.4,3,50,0.6,21,56,108,0,92.42,Strongly,9
450.4,11.4,2,49,0.6,47,93,89,2,81.71,Moderately,4
479.8,12,2,50,0.7,19,98,87,3,79.78,Weekly,3
448.3,7.6,3,49,0.8,12,100,81,0,90.83,Strongly,8
473.7,8.6,2,50,0.7,61,112,81,1,85.38,Moderately,6
435.6,8.1,3,50,0.7,78,68,94,0,90.85,Strongly,8
456.9,9.4,2,50,0.7,49,92,110,3,80.41,Moderately,3
454.5,12.8,3,50,0.5,69,65,83,2,82.15,Moderately,4
424.2,8.6,2,49,0.7,55,76,107,0,90.42,Strongly,8
466.9,10.5,2,50,0.6,30,113,83,2,81.78,Moderately,4
451.4,8.7,2,50,0.8,41,65,83,0,88.74,Moderately,8
462.9,12.6,2,50,0.8,53,92,115,2,82.67,Moderately,5
469.6,11.4,2,49,0.8,56,54,80,3,80.48,Moderately,4
470.3,12.8,2,49,0.6,15,56,94,2,81.86,Moderately,4
401,11.6,3,50,0.7,45,98,99,0,90.3,Strongly,8
414.7,12.4,3,50,0.7,59,100,112,0,89.51,Moderately,8
466.2,9.2,3,50,0.5,51,104,92,0,91.76,Strongly,9
428.9,9.8,2,50,0.6,76,95,113,2,83.23,Moderately,5
429.9,7.6,3,49,0.6,79,80,85,1,85.52,Moderately,6
441.4,7.6,3,49,0.7,39,58,85,3,81.95,Moderately,4
419.1,7.8,3,49,0.8,30,62,85,1,86.1,Moderately,6
407.3,9.8,2,50,0.8,13,90,91,3,80.77,Moderately,4
466,12.4,3,50,0.5,22,82,107,3,82.63,Moderately,5
439.4,10,2,50,0.6,45,64,85,0,89.93,Moderately,8
429.3,12,3,49,0.6,40,70,118,1,86.91,Moderately,7
439.9,7.8,3,50,0.7,43,89,116,2,83.88,Moderately,5
429.1,12.8,3,50,0.8,66,56,105,2,81.86,Moderately,4
407.7,7.5,2,49,0.7,71,94,95,2,81.98,Moderately,4
437.8,12.1,3,50,0.6,19,111,92,0,90.65,Strongly,8
401.3,12.7,2,50,0.6,66,102,96,3,79.68,Weekly,3
413.4,11.5,2,50,0.7,21,87,95,1,84.28,Moderately,5
403.3,7.4,2,49,0.5,46,95,87,2,83.5,Moderately,5
456.1,10.1,2,50,0.8,58,77,94,0,89.72,Moderately,8
477.2,9.4,3,50,0.5,51,62,85,2,84.11,Moderately,5
415.9,8.3,3,50,0.7,59,104,102,2,82.82,Moderately,5
459.9,8.3,2,49,0.6,23,65,89,3,81.57,Moderately,4
400.1,10.1,3,49,0.8,34,100,104,2,82.33,Moderately,4
456,8.5,2,49,0.5,19,82,82,2,83.48,Moderately,5
425.3,7.6,3,49,0.7,30,90,99,1,87.07,Moderately,7
455.1,12.8,3,50,0.8,64,84,80,0,89.63,Moderately,8
439.1,12.1,2,49,0.7,56,60,102,1,85.32,Moderately,6
465.7,7.1,3,50,0.5,43,96,102,1,88.85,Moderately,8
411.8,9.3,3,49,0.7,23,90,97,0,89.98,Moderately,8
426,9.5,3,50,0.6,12,60,83,1,85.33,Moderately,6
416.3,11.5,2,50,0.6,29,116,92,3,79.9,Weekly,3
445.3,11.3,3,50,0.7,51,116,97,3,81.41,Moderately,4
452.5,10.8,3,49,0.6,21,60,83,1,85.17,Moderately,6
470.5,7.8,2,50,0.7,13,111,106,3,80.97,Moderately,4
404.7,11.3,3,50,0.6,69,81,89,0,90.24,Strongly,8
430.5,7.9,2,49,0.8,12,108,106,3,80.55,Moderately,4
459.5,10.1,2,49,0.8,68,91,108,1,84.51,Moderately,6
443.4,7.1,2,50,0.8,41,92,103,1,85.01,Moderately,6
434.5,7.8,2,49,0.7,65,82,114,3,80.74,Moderately,4
414.3,10.3,3,49,0.6,53,73,80,2,83.09,Moderately,5
435.6,7.6,2,49,0.7,40,83,106,3,80.73,Moderately,4
429.7,9,2,49,0.8,12,111,105,2,82.09,Moderately,4
405.1,10.6,2,50,0.7,38,113,112,3,81.12,Moderately,4
478.9,8,2,49,0.6,74,78,116,0,91.42,Strongly,9
460.6,10.8,3,49,0.5,19,98,96,3,82.65,Moderately,5
465.3,12.3,3,50,0.6,10,57,90,0,89.75,Moderately,8
423,12.8,3,49,0.8,41,60,102,3,81.13,Moderately,4
430.3,8.4,3,50,0.5,46,114,83,3,82.26,Moderately,4
431.1,12.2,2,50,0.7,28,80,96,1,84.25,Moderately,5
421.9,10,3,49,0.6,79,56,104,0,90.07,Strongly,8
406.3,7.3,2,50,0.6,30,62,93,0,90.66,Strongly,8
431.9,8.2,3,50,0.8,79,56,93,1,84.96,Moderately,6
417,9.6,2,49,0.7,22,72,98,0,89.15,Moderately,8
448.6,11.2,2,49,0.7,39,71,104,0,90.07,Strongly,8
463.1,12.1,2,50,0.7,70,61,96,3,79.71,Weekly,3
479.3,11.1,3,50,0.7,24,100,108,2,82.94,Moderately,5
475,11.9,3,50,0.5,36,114,101,0,90.58,Strongly,8
470,11.8,2,49,0.6,74,74,81,2,82.47,Moderately,5
437.4,9.4,2,49,0.6,71,104,101,0,89.35,Moderately,8
453.2,10.2,3,49,0.8,49,86,83,0,89.1,Moderately,8
438.7,10.6,3,50,0.5,72,108,80,0,90.56,Strongly,8
470.5,11.1,2,50,0.7,40,100,102,2,82.86,Moderately,5
411.4,10.3,3,49,0.5,64,71,114,0,91.01,Strongly,9
439.9,11.8,2,50,0.7,77,87,119,1,84.55,Moderately,6
416.3,8,3,49,0.5,50,60,84,1,86.97,Moderately,7
436.2,12.8,2,49,0.5,61,82,111,2,83.2,Moderately,5
423.7,11.3,3,49,0.7,72,89,106,3,81.5,Moderately,4
434.7,8.7,3,49,0.7,13,56,99,1,86.91,Moderately,7
423.7,11.3,2,49,0.5,78,63,104,2,82.1,Moderately,4
478.9,8,2,49,0.6,48,99,81,0,89.36,Moderately,8
466.3,8.9,2,50,0.5,11,112,89,2,82.67,Moderately,5
401.7,7.6,3,49,0.8,58,52,87,2,82.24,Moderately,4
429.9,7.3,2,49,0.5,58,102,95,0,90.17,Strongly,8
445.3,10.9,2,49,0.8,20,76,110,2,81.92,Moderately,4
435.8,12.5,3,49,0.7,22,117,81,2,82.82,Moderately,5
407.7,8.2,3,49,0.5,52,89,92,2,84.44,Moderately,6
437.2,8.3,3,49,0.8,71,67,116,3,82.27,Moderately,4
407.7,10.7,3,49,0.6,32,69,95,2,82.57,Moderately,5
433.3,10,2,49,0.6,42,84,87,3,80.01,Moderately,3
421.5,9.8,3,49,0.6,76,79,85,3,81.42,Moderately,4
402.3,7.5,3,49,0.8,68,115,82,3,81.27,Moderately,4
450.8,7.6,2,49,0.8,13,75,94,2,83.18,Moderately,5
475.1,7,3,50,0.6,38,116,104,1,88.39,Moderately,7
408.1,11,3,50,0.8,15,75,110,1,85.15,Moderately,6
441.9,11.7,3,49,0.8,47,84,91,1,84.55,Moderately,6
469.6,10.9,3,50,0.8,70,52,105,1,85.96,Moderately,6
420.3,7.3,2,50,0.7,38,68,103,0,90.67,Strongly,8
442.6,10.5,2,50,0.5,29,67,86,1,85.75,Moderately,6
450.1,7.3,3,50,0.5,72,94,110,3,83.02,Moderately,5
460.1,10.6,3,50,0.7,17,59,110,3,81.26,Moderately,4
438.8,8.5,2,49,0.7,57,78,99,3,80.25,Moderately,3
451.6,10.8,2,49,0.8,64,65,95,0,88.66,Moderately,8
444.4,7.7,2,49,0.5,66,95,96,1,85.54,Moderately,6
458.1,12.3,2,50,0.8,57,65,115,1,85.37,Moderately,6
452.2,7.8,3,49,0.5,20,99,115,3,84,Moderately,5
457.9,8,3,49,0.8,25,107,118,1,86.65,Moderately,7
435.6,11.8,2,50,0.6,38,94,99,3,81.02,Moderately,4
437.1,11.1,3,50,0.7,72,110,105,3,80.5,Moderately,4
427.5,10.8,3,49,0.7,51,94,83,0,89.12,Moderately,8
471.3,7.8,2,50,0.6,39,91,82,0,89.41,Moderately,8
404.1,8.2,2,49,0.8,60,93,105,3,80.1,Moderately,3
466.1,10.9,3,50,0.5,50,116,111,0,92.15,Strongly,9
455.7,12.4,3,49,0.7,27,59,86,1,84.7,Moderately,6
418.1,8.2,3,49,0.7,15,114,114,0,92.25,Strongly,9
463.4,10.9,3,50,0.7,75,99,92,3,81.29,Moderately,4
463.1,7.6,3,50,0.7,59,107,92,3,81.11,Moderately,4
444.8,11.7,2,49,0.5,60,83,103,2,82.19,Moderately,4
450.4,9.9,3,50,0.7,30,70,115,2,83.29,Moderately,5
445.6,9.1,2,49,0.7,25,110,99,1,85.85,Moderately,6
433,7.6,3,49,0.7,43,114,108,3,81.81,Moderately,4
435.9,9.7,3,50,0.8,21,90,104,3,80.79,Moderately,4
406.4,8.1,3,50,0.8,66,103,114,1,86.6,Moderately,7
433.7,8,3,50,0.5,14,75,93,2,85.1,Moderately,6
446.3,7.5,2,49,0.5,63,62,109,2,83.42,Moderately,5
431.9,10,2,50,0.7,68,112,91,0,88.74,Moderately,8
456.4,9.7,2,50,0.5,34,67,87,3,80.42,Moderately,3
460.5,12.3,3,49,0.8,75,71,92,1,84.44,Moderately,6
456.5,11.3,3,49,0.7,19,98,100,1,85.35,Moderately,6
424.8,11,2,49,0.8,67,87,100,2,82.47,Moderately,5
404.2,9.6,2,49,0.8,10,82,85,1,84.2,Moderately,5
405.2,11.9,3,49,0.5,69,101,114,2,84.13,Moderately,5
452.9,10.8,3,50,0.6,54,53,104,1,86.61,Moderately,7
449.3,11.2,3,49,0.5,14,88,99,0,90.84,Strongly,8
429.9,9.5,3,49,0.6,51,113,105,3,81.38,Moderately,4
436.5,9.2,3,49,0.6,46,86,100,0,91.5,Strongly,9
441.9,9.3,3,49,0.8,44,86,97,3,81.6,Moderately,4
435.9,7.5,2,49,0.6,10,57,109,1,86.07,Moderately,6
471.9,8.2,3,49,0.8,71,66,90,3,80.61,Moderately,4
470.9,10.9,3,49,0.8,51,110,113,1,86.39,Moderately,6
475.2,8.3,2,50,0.5,56,51,110,3,82.48,Moderately,5
454.6,7,3,50,0.5,70,55,106,3,83.02,Moderately,5
461.4,12.1,3,49,0.5,50,81,119,0,91.25,Strongly,9
472.4,11.4,2,50,0.6,24,104,101,3,80.31,Moderately,3
403.8,12.2,2,49,0.8,45,109,117,2,81.65,Moderately,4
423.5,12.1,2,50,0.5,53,87,116,2,83.36,Moderately,5
470.3,12.6,3,50,0.6,11,83,113,2,84.27,Moderately,5
458.5,7.8,3,49,0.7,39,58,83,3,81.9,Moderately,4
404.2,10.1,2,49,0.8,40,107,100,0,89.79,Moderately,8
412.6,12.3,2,50,0.5,27,66,106,2,83.18,Moderately,5
443.4,11.7,3,50,0.5,33,83,90,3,80.9,Moderately,4
421.1,9.7,3,50,0.5,62,68,115,2,83.89,Moderately,5
445.3,9,3,50,0.6,46,94,107,2,83.52,Moderately,5
400.8,7.2,2,50,0.5,47,72,109,1,86.02,Moderately,6
419.9,10.5,2,50,0.5,44,72,105,1,85.09,Moderately,6
440,9.7,3,49,0.5,43,83,117,3,83.64,Moderately,5
422.9,8.4,2,49,0.8,21,109,104,2,83.11,Moderately,5
456.2,7.4,3,49,0.7,22,118,95,0,91.86,Strongly,9
425.6,9.1,3,50,0.8,72,70,81,2,81.78,Moderately,4
471.5,10.1,2,50,0.7,20,84,111,1,85.06,Moderately,6
435.8,12,2,50,0.8,23,107,89,2,82.35,Moderately,5
424.7,11.8,3,49,0.6,54,96,85,0,89.26,Moderately,8
470.2,9,3,49,0.6,51,106,90,1,86.73,Moderately,7
440.5,10.7,2,50,0.6,31,100,86,1,84.43,Moderately,6
425.1,11.3,2,49,0.7,28,104,98,0,88.9,Moderately,8
410.4,9.9,3,49,0.7,71,95,83,3,81.09,Moderately,4
446.6,7.8,3,50,0.7,35,81,107,2,84.6,Moderately,6
466.1,9.3,2,49,0.7,18,65,102,1,86.02,Moderately,6
455.9,8.9,3,49,0.8,25,64,83,3,80.45,Moderately,3
459.9,12,3,50,0.5,61,74,104,1,85.79,Moderately,6
470.3,8.1,2,50,0.5,41,91,106,2,83.33,Moderately,5
401.2,10.5,2,49,0.8,42,82,116,0,90.04,Strongly,8
442.5,7.3,2,49,0.7,30,54,99,0,90.77,Strongly,8
417.4,10.7,2,49,0.7,66,85,112,0,90.08,Strongly,8
470.7,7.8,2,50,0.6,78,116,98,1,86.15,Moderately,6
439.6,8,3,50,0.7,68,56,90,2,83.56,Moderately,5
414.6,10.3,3,49,0.5,26,55,102,2,84.51,Moderately,6
464.8,7.9,2,49,0.6,32,59,102,1,86.62,Moderately,7
453.2,9.9,2,49,0.5,45,53,91,3,80.47,Moderately,4
409.8,12.5,3,50,0.7,57,78,82,3,80.78,Moderately,4
464.5,9.4,3,49,0.7,54,116,97,3,81.9,Moderately,4
425,10.8,3,49,0.7,41,69,97,1,85.04,Moderately,6
472.3,7.1,3,50,0.7,12,82,87,3,81.55,Moderately,4
422.3,7.4,3,49,0.8,73,83,113,2,84.19,Moderately,5
465.4,11.5,3,49,0.5,22,51,116,0,91.68,Strongly,9
464.1,7.4,2,49,0.7,25,89,92,3,81.59,Moderately,4
438.9,8.6,2,49,0.8,43,59,96,2,81.83,Moderately,4
447.4,7.5,3,50,0.7,58,118,116,0,92.3,Strongly,9
418.9,9.5,3,49,0.8,41,109,88,0,89.27,Moderately,8
470.2,8.2,3,50,0.6,29,88,93,3,82.67,Moderately,5
429.2,7.8,2,49,0.8,15,117,108,1,85.13,Moderately,6
402.7,7.8,3,49,0.6,76,51,92,2,83.85,Moderately,5
438,10.4,2,50,0.5,25,108,112,1,85.57,Moderately,6
445.1,10.1,3,49,0.7,54,118,90,0,90.5,Strongly,8
435.5,9.2,3,50,0.5,24,83,90,1,86.14,Moderately,6
439.5,7.1,2,49,0.8,16,115,114,2,82.85,Moderately,5
440.8,8.8,3,50,0.7,48,52,103,0,91.24,Strongly,9
440.5,9.1,2,50,0.8,26,77,107,1,84.74,Moderately,6
441.8,10.5,2,49,0.6,36,100,80,0,89.84,Moderately,8
410.8,9.5,2,49,0.7,30,112,110,3,81.36,Moderately,4
464,8.7,3,50,0.8,20,53,119,0,91,Strongly,9
443.8,10.3,2,49,0.6,50,108,82,0,88.85,Moderately,8
417.1,10.5,2,50,0.8,69,87,114,0,88.89,Moderately,8
417.3,11.4,2,50,0.8,11,53,114,3,80.04,Moderately,3
402.3,8,2,50,0.7,25,71,107,2,83.34,Moderately,5
408.6,12.9,2,49,0.6,30,63,113,3,81.18,Moderately,4
408.7,12.9,3,49,0.6,75,117,86,0,88.98,Moderately,8
449.9,9.6,3,50,0.5,67,60,108,2,84.77,Moderately,6
430.2,9.5,3,50,0.8,79,55,114,3,81.73,Moderately,4
445.5,12.4,3,49,0.6,53,88,82,0,90.18,Strongly,8
410.3,12.2,2,50,0.8,50,80,114,3,80.77,Moderately,4
419.4,12.1,2,49,0.6,34,61,94,1,84.39,Moderately,6
460.9,12.8,3,49,0.8,17,51,87,0,90.04,Strongly,8
410.1,9.9,2,49,0.5,24,92,82,3,80.18,Moderately,3
453.6,11.7,2,50,0.5,61,54,96,0,90.21,Strongly,8
454.4,9.3,2,50,0.5,68,65,82,2,81.98,Moderately,4
447.6,9.3,2,50,0.6,62,62,94,3,81.19,Moderately,4
429.3,9,2,50,0.7,50,93,86,1,85.34,Moderately,6
475.2,10.7,2,49,0.6,76,77,98,2,81.95,Moderately,4
430.1,11,3,49,0.6,56,58,87,0,89.46,Moderately,8
411.9,7.4,3,49,0.7,13,115,91,1,85.87,Moderately,6
450.8,7.3,3,49,0.5,35,99,80,3,81.84,Moderately,4
474,12.1,2,49,0.7,44,73,112,1,84.68,Moderately,6
448,10.6,2,49,0.8,57,79,81,1,84.98,Moderately,6
444.6,10,3,50,0.5,26,82,114,2,85.35,Moderately,6
436.8,12.6,3,50,0.7,34,56,98,1,84.82,Moderately,6
468.4,12,3,50,0.5,32,93,106,3,82.61,Moderately,5
414.1,7.9,2,49,0.7,24,67,119,0,90.17,Strongly,8
426.7,11.6,3,49,0.7,31,114,85,1,84.65,Moderately,6
437.4,9.5,2,49,0.5,72,73,98,3,81.53,Moderately,4
453.5,12.8,2,50,0.6,43,112,87,3,80.73,Moderately,4
430.8,10.4,3,50,0.8,41,86,102,2,82.26,Moderately,4
409.8,12.9,3,49,0.8,44,68,110,2,82.03,Moderately,4
469.1,7.9,2,50,0.7,41,65,109,0,89.91,Moderately,8
404.5,8.7,3,50,0.7,79,119,102,2,82.52,Moderately,5
467.8,8.6,3,49,0.5,44,100,98,2,85.14,Moderately,6
422.3,7.4,2,49,0.5,17,74,89,1,86.63,Moderately,7
457.9,12.5,3,49,0.6,18,65,98,1,85.42,Moderately,6
455.5,9,2,49,0.5,47,100,100,0,91.06,Strongly,9
473.9,9.1,2,50,0.7,17,86,102,2,83.32,Moderately,5
454.4,12.2,3,50,0.8,16,74,119,2,83.7,Moderately,5
412.8,11.2,3,50,0.6,46,85,114,1,86.7,Moderately,7
475.5,9.9,3,49,0.6,49,76,100,1,86.94,Moderately,7
439.4,12.5,2,50,0.6,41,110,116,1,85.82,Moderately,6
456.7,8,3,50,0.5,40,111,96,1,86.92,Moderately,7
466.8,10.1,3,49,0.8,75,99,105,2,83.41,Moderately,5
449.7,10.6,2,49,0.6,21,86,113,1,85.3,Moderately,6
475.1,11.2,3,50,0.5,33,95,96,3,81.42,Moderately,4
404.8,8.2,3,50,0.8,44,111,83,2,83.04,Moderately,5
410,11.2,2,49,0.7,74,60,90,2,81.38,Moderately,4
443,7.9,3,50,0.7,23,111,107,0,91.02,Strongly,9
454,11.7,2,49,0.8,29,94,97,2,81.56,Moderately,4
472.6,8,2,50,0.5,46,111,84,2,82.51,Moderately,5
474,9.9,2,49,0.5,20,84,115,0,90.77,Strongly,8
423,12.9,3,50,0.5,77,55,103,2,82.54,Moderately,5
428.7,7.9,2,49,0.5,51,111,104,3,82.23,Moderately,4
430.5,12.8,2,49,0.6,20,55,99,0,89.02,Moderately,8
445.1,12.9,3,50,0.5,57,52,95,2,83.52,Moderately,5
408.4,10.4,3,49,0.5,21,108,80,0,89.86,Moderately,8
453.2,8.6,3,49,0.7,24,107,118,1,87.85,Moderately,7
435.9,12.7,2,50,0.7,34,61,111,0,88.96,Moderately,8
437.7,11.9,3,50,0.8,48,81,85,1,85.34,Moderately,6
461.5,12.5,2,50,0.7,53,87,102,3,79.82,Weekly,3
476.3,11.1,2,49,0.5,60,54,82,0,89.07,Moderately,8
410.7,12.9,2,49,0.6,22,86,88,0,89.71,Moderately,8
405.2,12.8,2,50,0.5,51,83,96,3,79.95,Weekly,3
466.4,7.8,3,50,0.8,55,83,84,2,83.35,Moderately,5
458.2,8.8,3,50,0.8,31,113,95,3,80.75,Moderately,4
440,8.8,2,49,0.6,29,102,101,0,90.76,Strongly,8
400.4,12.5,3,50,0.7,62,86,109,2,83.1,Moderately,5
445.9,10.9,3,49,0.5,21,85,90,3,81.26,Moderately,4
467.2,8.3,2,49,0.7,12,86,97,2,83.42,Moderately,5
474.3,8.6,2,49,0.5,53,113,83,1,86.07,Moderately,6
450.8,8.5,3,50,0.8,33,103,86,0,89.56,Moderately,8
436.3,9.6,3,49,0.6,35,75,104,0,91.66,Strongly,9
464.1,9.8,3,50,0.7,57,107,109,3,82.12,Moderately,4
407,9.9,3,49,0.5,64,56,88,2,82.68,Moderately,5
448.4,10.1,3,49,0.5,19,63,118,0,93.26,Strongly,9
405.7,12.8,3,49,0.8,40,59,89,2,81.61,Moderately,4
448.1,11.2,3,49,0.5,16,107,104,3,81.85,Moderately,4
428.6,8.9,3,49,0.6,23,62,94,0,91.5,Strongly,9
401.1,10,2,49,0.7,69,98,108,0,89.02,Moderately,8
416.9,12.4,2,50,0.5,65,62,81,0,88.66,Moderately,8
458.3,7.7,2,49,0.5,32,116,112,0,91.25,Strongly,9
449.5,8.1,2,49,0.7,42,59,116,3,81.95,Moderately,4
421.5,8,2,49,0.8,33,91,90,1,84.49,Moderately,6
451.7,12.6,2,50,0.7,20,99,115,1,85.68,Moderately,6
449.7,12.2,3,49,0.5,11,57,114,1,87.73,Moderately,7
409.5,12,2,49,0.7,79,119,82,0,89.34,Moderately,8
409.3,10.9,2,50,0.6,66,67,117,2,82.11,Moderately,4
418.4,8.2,3,50,0.5,71,73,104,2,83.82,Moderately,5
459,8.7,3,49,0.8,31,95,118,2,84.55,Moderately,6
472.1,12.1,2,49,0.7,43,105,101,2,82.75,Moderately,5
441.9,10.5,3,49,0.5,19,96,110,1,86.91,Moderately,7
457.6,7.6,3,50,0.6,24,54,89,0,91.87,Strongly,9
462.4,8.5,2,50,0.5,28,88,86,0,90.79,Strongly,8
402.3,11.9,2,50,0.6,18,101,92,1,85.35,Moderately,6
474.6,11.9,3,50,0.5,50,99,116,3,82.93,Moderately,5
438.6,7.4,2,50,0.7,37,56,85,3,80.18,Moderately,3
445.2,9.2,2,49,0.8,66,104,116,2,82.09,Moderately,4
412.7,10.4,2,50,0.7,40,100,91,1,85.25,Moderately,6
478,7.4,2,50,0.6,64,106,99,0,89.97,Moderately,8
402.4,12.4,2,50,0.5,45,50,96,1,84.51,Moderately,6
408.2,8.7,3,50,0.6,63,55,96,2,83.79,Moderately,5
445.1,8,2,49,0.8,46,91,104,1,84.85,Moderately,6
469.3,11.9,2,49,0.8,41,111,112,2,81.81,Moderately,4
414,10.2,3,50,0.7,43,86,108,3,81.83,Moderately,4
430.3,10.9,3,50,0.5,66,104,81,1,85.01,Moderately,6
453.8,12,3,49,0.6,18,105,99,2,83.8,Moderately,5
445.2,7.6,3,49,0.8,31,95,97,2,83.99,Moderately,5
449.7,12.5,2,50,0.5,74,56,96,2,82.83,Moderately,5
433.5,9.8,2,50,0.6,70,85,88,3,80.91,Moderately,4
404.1,8.4,3,49,0.7,77,80,102,1,86.4,Moderately,6
